location,dma_value_100,dma_tier
7046,100.0,Platinum
6025,99.98,Platinum
2289,99.88,Platinum
3218,99.83,Platinum
6536,99.83,Platinum
6934,99.79,Platinum
7087,99.76,Platinum
2283,99.76,Platinum
2097,99.72,Platinum
2686,99.69,Platinum
7403,99.65,Platinum
1382,99.6,Platinum
3157,99.5,Gold
1547,99.46,Gold
8346,99.46,Gold
2519,99.34,Gold
5484,99.32,Gold
4625,99.32,Gold
9028,99.29,Gold
8289,99.25,Gold
4070,99.22,Gold
4890,99.2,Gold
8410,99.17,Silver
7388,99.17,Silver
9965,99.06,Silver
6840,99.06,Silver
6462,99.03,Silver
6726,99.03,Silver
2606,99.01,Silver
2011,98.89,Silver
1627,98.87,Silver
2913,98.84,Silver
6297,98.75,Silver
4203,98.61,Silver
5130,98.51,Bronze
2332,98.35,Bronze
7066,98.33,Bronze
3388,98.3,Bronze
8834,98.28,Bronze
9820,98.25,Bronze
4809,98.14,Bronze
4801,98.04,Bronze
9250,98.0,Bronze
4180,97.9,Bronze
6231,97.78,Bronze
2938,97.69,Bronze
6772,0.0,Unranked
6415,0.0,Unranked
6428,0.0,Unranked
6443,0.0,Unranked
6469,0.0,Unranked
6682,0.0,Unranked
6694,0.0,Unranked
6944,0.0,Unranked
6810,0.0,Unranked
6187,0.0,Unranked
6959,0.0,Unranked
7006,0.0,Unranked
7095,0.0,Unranked
7096,0.0,Unranked
7312,0.0,Unranked
7326,0.0,Unranked
6253,0.0,Unranked
6061,0.0,Unranked
6173,0.0,Unranked
5430,0.0,Unranked
7399,0.0,Unranked
5195,0.0,Unranked
5265,0.0,Unranked
5296,0.0,Unranked
5380,0.0,Unranked
5382,0.0,Unranked
5426,0.0,Unranked
5435,0.0,Unranked
6088,0.0,Unranked
5893,0.0,Unranked
5900,0.0,Unranked
5917,0.0,Unranked
5954,0.0,Unranked
6004,0.0,Unranked
6026,0.0,Unranked
6056,0.0,Unranked
7372,0.0,Unranked
9207,0.0,Unranked
7503,0.0,Unranked
9492,0.0,Unranked
5013,0.0,Unranked
9277,0.0,Unranked
9331,0.0,Unranked
9344,0.0,Unranked
9364,0.0,Unranked
9414,0.0,Unranked
9424,0.0,Unranked
9531,0.0,Unranked
7552,0.0,Unranked
9652,0.0,Unranked
9746,0.0,Unranked
9816,0.0,Unranked
9847,0.0,Unranked
9851,0.0,Unranked
9937,0.0,Unranked
9938,0.0,Unranked
9114,0.0,Unranked
9095,0.0,Unranked
9082,0.0,Unranked
9068,0.0,Unranked
7593,0.0,Unranked
7705,0.0,Unranked
7776,0.0,Unranked
7995,0.0,Unranked
8103,0.0,Unranked
8131,0.0,Unranked
8198,0.0,Unranked
8239,0.0,Unranked
8601,0.0,Unranked
8676,0.0,Unranked
8686,0.0,Unranked
8924,0.0,Unranked
8950,0.0,Unranked
9046,0.0,Unranked
9048,0.0,Unranked
5090,0.0,Unranked
3712,0.0,Unranked
4992,0.0,Unranked
2506,0.0,Unranked
2245,0.0,Unranked
2300,0.0,Unranked
2343,0.0,Unranked
2353,0.0,Unranked
2365,0.0,Unranked
2454,0.0,Unranked
2491,0.0,Unranked
2541,0.0,Unranked
4973,0.0,Unranked
2654,0.0,Unranked
2699,0.0,Unranked
2738,0.0,Unranked
2782,0.0,Unranked
2846,0.0,Unranked
2854,0.0,Unranked
2858,0.0,Unranked
2037,0.0,Unranked
1985,0.0,Unranked
1916,0.0,Unranked
1905,0.0,Unranked
1083,0.0,Unranked
1096,0.0,Unranked
1237,0.0,Unranked
1251,0.0,Unranked
1470,0.0,Unranked
1485,0.0,Unranked
1564,0.0,Unranked
1589,0.0,Unranked
1634,0.0,Unranked
1679,0.0,Unranked
1699,0.0,Unranked
1821,0.0,Unranked
1826,0.0,Unranked
1836,0.0,Unranked
1872,0.0,Unranked
2933,0.0,Unranked
3033,0.0,Unranked
3045,0.0,Unranked
3975,0.0,Unranked
4137,0.0,Unranked
4338,0.0,Unranked
4413,0.0,Unranked
4415,0.0,Unranked
4544,0.0,Unranked
4617,0.0,Unranked
4635,0.0,Unranked
4693,0.0,Unranked
4694,0.0,Unranked
4744,0.0,Unranked
4776,0.0,Unranked
4832,0.0,Unranked
4861,0.0,Unranked
4882,0.0,Unranked
4939,0.0,Unranked
4038,0.0,Unranked
3965,0.0,Unranked
3054,0.0,Unranked
3833,0.0,Unranked
3108,0.0,Unranked
3115,0.0,Unranked
3222,0.0,Unranked
3323,0.0,Unranked
3339,0.0,Unranked
3376,0.0,Unranked
3435,0.0,Unranked
3440,0.0,Unranked
3463,0.0,Unranked
3476,0.0,Unranked
3495,0.0,Unranked
3610,0.0,Unranked
3696,0.0,Unranked
3700,0.0,Unranked
3735,0.0,Unranked
9999,0.0,Unranked
